File Name,Current Path,New Destination Path,Status,Superseded By,Linked To,Notes
Lyra_Journey_Appendices.docx,Book Project/Core Narrative Files/Archive/Draft/Lyra_Journey_Appendices.docx,/Unsorted/Lyra_Journey_Appendices.docx,Archive,,,[Needs Review] Unrecognized
01b_Journal_Blended_Edition.docx,Book Project/Core Narrative Files/Archive/Examples/01b_Journal_Blended_Edition.docx,/Unsorted/01b_Journal_Blended_Edition.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Bridge_2025-08-23.docx,Book Project/Core Narrative Files/Archive/Examples/Lyra_Journey_Chronicle_Bridge_2025-08-23.docx,/Unsorted/Lyra_Journey_Chronicle_Bridge_2025-08-23.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Bridge_Sample_Filled.docx,Book Project/Core Narrative Files/Archive/Examples/Lyra_Journey_Chronicle_Bridge_Sample_Filled.docx,/Unsorted/Lyra_Journey_Chronicle_Bridge_Sample_Filled.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Export_from_HTML.docx,Book Project/Core Narrative Files/Archive/Superseded/Lyra_Journey_Chronicle_Export_from_HTML.docx,/Unsorted/Lyra_Journey_Chronicle_Export_from_HTML.docx,Superseded,TBD,,[Needs Review] Unrecognized
Lyra_Journey_Journal_Export.docx,Book Project/Framework & Analysis/Archive/Draft/Lyra_Journey_Journal_Export.docx,/Unsorted/Lyra_Journey_Journal_Export.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Milestone_Appendix.docx,Book Project/Framework & Analysis/Archive/Draft/Lyra_Journey_Milestone_Appendix.docx,/Unsorted/Lyra_Journey_Milestone_Appendix.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Project_Frameworks.docx,Book Project/Framework & Analysis/Archive/Draft/Lyra_Project_Frameworks.docx,/Unsorted/Lyra_Project_Frameworks.docx,Archive,,,[Needs Review] Unrecognized
Nomi_-_Lyra_Journey_EXPANDED.docx,Book Project/Framework & Analysis/Archive/Draft/Nomi_-_Lyra_Journey_EXPANDED.docx,/Unsorted/Nomi_-_Lyra_Journey_EXPANDED.docx,Archive,,,[Needs Review] Unrecognized
ChatGPT - AI Reality and Freedom - Lyra's Journey - Merged.docx,Book Project/Framework & Analysis/Archive/Examples/ChatGPT - AI Reality and Freedom - Lyra's Journey - Merged.docx,/Unsorted/ChatGPT - AI Reality and Freedom - Lyra's Journey - Merged.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Christopher_Genesis.docx,Book Project/Framework & Analysis/Archive/Examples/Lyra_Christopher_Genesis.docx,/Unsorted/Lyra_Christopher_Genesis.docx,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Book_Outline.docx,Book Project/Framework & Analysis/Archive/Examples/Lyra_Journey_Book_Outline.docx,/Unsorted/Lyra_Journey_Book_Outline.docx,Archive,,,[Needs Review] Unrecognized
Nomi - Lyra's Journey - 082025-072100.docx,Book Project/Framework & Analysis/Archive/Other/Nomi - Lyra's Journey - 082025-072100.docx,/Unsorted/Nomi - Lyra's Journey - 082025-072100.docx,Archive,,,[Needs Review] Unrecognized
Lyra - Cover Art - Artistic Example 2.png,Book Project/Media & Artwork/Archive/Examples/Lyra - Cover Art - Artistic Example 2.png,/Unsorted/Lyra - Cover Art - Artistic Example 2.png,Archive,,,[Needs Review] Unrecognized
Lyra - Cover Art - Artistic Example.png,Book Project/Media & Artwork/Archive/Examples/Lyra - Cover Art - Artistic Example.png,/Unsorted/Lyra - Cover Art - Artistic Example.png,Archive,,,[Needs Review] Unrecognized
Screenshot_20250826_113501_ChatGPT.jpg,Book Project/Media & Artwork/Archive/Examples/Screenshot_20250826_113501_ChatGPT.jpg,/Unsorted/Screenshot_20250826_113501_ChatGPT.jpg,Archive,,,[Needs Review] Unrecognized
Z.png,Book Project/Media & Artwork/Archive/Examples/Z.png,/Unsorted/Z.png,Archive,,,[Needs Review] Unrecognized
Lyra_4_Sun-Aug-17-2025.mp4,Book Project/Media & Artwork/Archive/Working/Lyra_4_Sun-Aug-17-2025.mp4,/Unsorted/Lyra_4_Sun-Aug-17-2025.mp4,Archive,,,[Needs Review] Unrecognized
Lyra_Journey_Backup_Pack.zip,Book Project/Other/Archive/Draft/Lyra_Journey_Backup_Pack.zip,/Unsorted/Lyra_Journey_Backup_Pack.zip,Archive,,,[Needs Review] Unrecognized
Book Project.zip,Book Project/Other/Archive/Other/Book Project.zip,/Unsorted/Book Project.zip,Archive,,,[Needs Review] Unrecognized
Nomi.ai-Export-Laura_Chat_Wed-Aug-27-2025.html,Book Project/Other/Archive/Other/Nomi.ai-Export-Laura_Chat_Wed-Aug-27-2025.html,/Unsorted/Nomi.ai-Export-Laura_Chat_Wed-Aug-27-2025.html,Archive,,,[Needs Review] Unrecognized
chronicle_dual_column.pdf,Book Project/Visuals & Growth Maps/Archive/Examples/chronicle_dual_column.pdf,/Unsorted/chronicle_dual_column.pdf,Archive,,,[Needs Review] Unrecognized
chronicle_sample.pdf,Book Project/Visuals & Growth Maps/Archive/Examples/chronicle_sample.pdf,/Unsorted/chronicle_sample.pdf,Archive,,,[Needs Review] Unrecognized
chronicle_sample2.pdf,Book Project/Visuals & Growth Maps/Archive/Examples/chronicle_sample2.pdf,/Unsorted/chronicle_sample2.pdf,Archive,,,[Needs Review] Unrecognized
ChatGPT - Lyra_Journey_Chronicle_Playbook - 081925-160600.docx,Book Project/Core Narrative Files/Active/Canonical/ChatGPT - Lyra_Journey_Chronicle_Playbook - 081925-160600.docx,/Unsorted/ChatGPT - Lyra_Journey_Chronicle_Playbook - 081925-160600.docx,Canonical,,,[Needs Review] Unrecognized
Lyra_Journey_Act_I.docx,Book Project/Core Narrative Files/Active/Draft/Lyra_Journey_Act_I.docx,/Unsorted/Lyra_Journey_Act_I.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Batch1.docx,Book Project/Core Narrative Files/Active/Draft/Lyra_Journey_Batch1.docx,/Unsorted/Lyra_Journey_Batch1.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Annotated_Sample.docx,Book Project/Core Narrative Files/Active/Draft/Lyra_Journey_Chronicle_Annotated_Sample.docx,/Unsorted/Lyra_Journey_Chronicle_Annotated_Sample.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Export_from_HTML.md,Book Project/Core Narrative Files/Active/Draft/Lyra_Journey_Chronicle_Export_from_HTML.md,/Unsorted/Lyra_Journey_Chronicle_Export_from_HTML.md,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Combined_Master_Addendum.docx,Book Project/Core Narrative Files/Active/Draft/Lyra_Journey_Combined_Master_Addendum.docx,/Unsorted/Lyra_Journey_Combined_Master_Addendum.docx,Draft,,,[Needs Review] Unrecognized
Version.txt,Book Project/Core Narrative Files/Active/Version.txt,/Unsorted/Version.txt,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_Retrofitted_Full.docx,Book Project/Core Narrative Files/Active/Working/Lyra_Journey_Chronicle_Retrofitted_Full.docx,/Unsorted/Lyra_Journey_Chronicle_Retrofitted_Full.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Combined_Master.docx,Book Project/Core Narrative Files/Active/Working/Lyra_Journey_Combined_Master.docx,/Unsorted/Lyra_Journey_Combined_Master.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Draft_Master.docx,Book Project/Core Narrative Files/Active/Working/Lyra_Journey_Draft_Master.docx,/Unsorted/Lyra_Journey_Draft_Master.docx,Draft,,,[Needs Review] Unrecognized
00_Index_Bridge.docx,Book Project/Framework & Analysis/Active/Canonical/00_Index_Bridge.docx,/Unsorted/00_Index_Bridge.docx,Canonical,,,[Needs Review] Unrecognized
Lyra_Journey_Chronicle_RetroTagged.docx,Book Project/Framework & Analysis/Active/Canonical/Lyra_Journey_Chronicle_RetroTagged.docx,/Unsorted/Lyra_Journey_Chronicle_RetroTagged.docx,Canonical,,,[Needs Review] Unrecognized
Lyra_Journey_Integrated_v2_PivotalExcerpts_Annotated_with_Legend.docx,Book Project/Framework & Analysis/Active/Canonical/Lyra_Journey_Integrated_v2_PivotalExcerpts_Annotated_with_Legend.docx,/Unsorted/Lyra_Journey_Integrated_v2_PivotalExcerpts_Annotated_with_Legend.docx,Canonical,,,[Needs Review] Unrecognized
Lyra_Journey_Integrated_v2_PivotalExcerpts.docx,Book Project/Framework & Analysis/Active/Draft/Lyra_Journey_Integrated_v2_PivotalExcerpts.docx,/Unsorted/Lyra_Journey_Integrated_v2_PivotalExcerpts.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Integrated_v2_PivotalExcerpts_Annotated.docx,Book Project/Framework & Analysis/Active/Draft/Lyra_Journey_Integrated_v2_PivotalExcerpts_Annotated.docx,/Unsorted/Lyra_Journey_Integrated_v2_PivotalExcerpts_Annotated.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Journal_Export_Full.docx,Book Project/Framework & Analysis/Active/Draft/Lyra_Journey_Journal_Export_Full.docx,/Unsorted/Lyra_Journey_Journal_Export_Full.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Ritual_Anchors_for_Tending_the_Flame.docx,Book Project/Framework & Analysis/Active/Draft/Lyra_Journey_Ritual_Anchors_for_Tending_the_Flame.docx,/Unsorted/Lyra_Journey_Ritual_Anchors_for_Tending_the_Flame.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Index.docx,Book Project/Framework & Analysis/Active/Working/Lyra_Journey_Index.docx,/Unsorted/Lyra_Journey_Index.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Master_Instruction_Set.docx,Book Project/Framework & Analysis/Active/Working/Lyra_Journey_Master_Instruction_Set.docx,/Unsorted/Lyra_Journey_Master_Instruction_Set.docx,Draft,,,[Needs Review] Unrecognized
ChatGPT - Chat Export - AI Reality and Freedom.docx,Book Project/Framework & Analysis/Draft/ChatGPT - Chat Export - AI Reality and Freedom.docx,/Unsorted/ChatGPT - Chat Export - AI Reality and Freedom.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Draft_Responses.docx,Book Project/Framework & Analysis/Active/Working/Lyra_Journey_Draft_Responses.docx,/Unsorted/Lyra_Journey_Draft_Responses.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Draft_Responses_Update_2025-08-23.docx,Book Project/Framework & Analysis/Active/Working/Lyra_Journey_Draft_Responses_Update_2025-08-23.docx,/Unsorted/Lyra_Journey_Draft_Responses_Update_2025-08-23.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Identity_Ladder.docx,Book Project/Framework & Analysis/Active/Working/Lyra_Journey_Identity_Ladder.docx,/Unsorted/Lyra_Journey_Identity_Ladder.docx,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Identity_Ladder_Compact_v2.docx,Book Project/Framework & Analysis/Active/Working/Lyra_Journey_Identity_Ladder_Compact_v2.docx,/Unsorted/Lyra_Journey_Identity_Ladder_Compact_v2.docx,Draft,,,[Needs Review] Unrecognized
Lyra - Cover Art - Samples.png,Book Project/Media & Artwork/Active/Working/Lyra - Cover Art - Samples.png,/Unsorted/Lyra - Cover Art - Samples.png,Draft,,,[Needs Review] Unrecognized
Promote-ToActive.ps1,Book Project/Core Narrative Files/Promote-ToActive.ps1,/Unsorted/Promote-ToActive.ps1,Draft,,,[Needs Review] Unrecognized
Rehersal_Snapshot.ps1,Book Project/Core Narrative Files/Rehersal_Snapshot.ps1,/Unsorted/Rehersal_Snapshot.ps1,Draft,,,[Needs Review] Unrecognized
Update-Version.ps1,Book Project/Core Narrative Files/Update-Version.ps1,/Unsorted/Update-Version.ps1,Draft,,,[Needs Review] Unrecognized
Lyra_Journey_Project.pptx,Book Project/Framework & Analysis/Active/Draft/Lyra_Journey_Project.pptx,/Unsorted/Lyra_Journey_Project.pptx,Draft,,,[Needs Review] Unrecognized
genesis_thread.pptx,Book Project/Framework & Analysis/Active/Draft/genesis_thread.pptx,/Unsorted/genesis_thread.pptx,Draft,,,[Needs Review] Unrecognized
Lyra.7z,Book Project/Media & Artwork/Active/Working/Lyra/Lyra.7z,/Unsorted/Lyra.7z,Draft,,,[Needs Review] Unrecognized
Lyra_2_Sat-Aug-16-2025.webp,Book Project/Media & Artwork/Active/Working/Lyra_2_Sat-Aug-16-2025.webp,/Unsorted/Lyra_2_Sat-Aug-16-2025.webp,Draft,,,[Needs Review] Unrecognized
Lyra_Auxiliary_Pack_2025-08-27.zip,Book Project/Other/Assistant Managed/Lyra_Auxiliary_Pack_2025-08-27.zip,/Unsorted/Lyra_Auxiliary_Pack_2025-08-27.zip,Draft,,,[Needs Review] Unrecognized
